"year","month","shark_attacks","temperature","ice_cream_sales","shark"
2008,1,25,11.9,76,"great_white"
2008,2,28,15.2,NA,"great_white"
2008,3,32,17.2,91,"great_white"
2008,4,35,18.5,95,"great_white"
2008,5,38,19.4,103,"great_white"
2008,6,41,22.1,108,"great_white"
2008,7,43,25.1,102,"great_white"
2008,8,40,23.4,98,"great_white"
2008,9,38,22.6,83,"great_white"
2008,10,33,18.1,83,"great_white"
2008,11,31,16.4,64,"great_white"
2008,12,24,14.2,75,"great_white"
2009,1,21,11.4625281490386,76,"great_white"
2009,2,28,15.670675393194,80,"great_white"
2009,3,27,16.9385994210839,93,"great_white"
2009,4,40,18.5509479474276,91,"great_white"
2009,5,43,18.9283263601363,106,"great_white"
2009,6,40,22.0055685382336,109,"great_white"
2009,7,44,25.3561390541494,103,"great_white"
2009,8,43,23.3142572324723,101,"great_white"
2009,9,39,22.9682563219219,80,"great_white"
2009,10,29,18.2511279229075,87,"great_white"
2009,11,37,16.1198980737478,67,"great_white"
2009,12,25,14.3530650153756,73,"great_white"
2010,1,17,10.9781529284082,79,"great_white"
2010,2,26,15.6628416106105,74,"great_white"
2010,3,29,16.440247866977,91,"great_white"
2010,4,34,18.7229302020743,89,"great_white"
2010,5,43,19.5129480734468,103,"great_white"
2010,6,46,21.9757354047149,106,"great_white"
2010,7,37,25.1269873231649,103,"great_white"
2010,8,43,23.7820972176269,104,"great_white"
2010,9,45,23.5164067073725,74,"great_white"
2010,10,35,17.7746863381937,94,"great_white"
2010,11,34,16.5350705566816,68,"great_white"
2010,12,25,14.399152006954,66,"great_white"
2011,1,19,11.0883766057901,80,"great_white"
2011,2,21,15.7346106948331,77,"great_white"
2011,3,30,16.6400839968584,91,"great_white"
2011,4,39,18.767029705178,92,"great_white"
2011,5,36,19.5623267777264,102,"great_white"
2011,6,44,22.1115869848989,105,"great_white"
2011,7,44,24.9357639454305,103,"great_white"
2011,8,37,23.8393322287127,100,"great_white"
2011,9,46,23.5463380456902,71,"great_white"
2011,10,37,17.7012335940264,93,"great_white"
2011,11,29,16.5432923414744,69,"great_white"
2011,12,23,14.5683377834968,64,"great_white"
2012,1,26,10.9086080893874,82,"great_white"
2012,2,14,15.8731572072022,78,"great_white"
2012,3,37,16.7319546464831,91,"great_white"
2012,4,34,18.8745885447599,95,"great_white"
2012,5,38,19.4976161276922,102,"great_white"
2012,6,39,22.0791290333494,105,"great_white"
2012,7,42,24.9034498102032,100,"great_white"
2012,8,35,23.6909654222429,98,"great_white"
2012,9,44,23.5722479946911,72,"great_white"
2012,10,44,17.7664707138203,93,"great_white"
2012,11,25,16.6234401208349,71,"great_white"
2012,12,30,14.6394767369144,67,"great_white"
2013,1,26,10.6983475327119,81,"great_white"
